ts_start,ts_end,price
2023-02-27 19:00:00,2023-02-27 20:00:00,193.39
2023-02-27 20:00:00,2023-02-27 21:00:00,134.11
2023-02-27 21:00:00,2023-02-27 22:00:00,156.45
2023-02-27 22:00:00,2023-02-27 23:00:00,149.78
2023-02-27 23:00:00,2023-02-28 00:00:00,117.07
2023-02-27 07:00:00,2023-02-27 08:00:00,186.66
2023-02-27 08:00:00,2023-02-27 09:00:00,182.38
2023-02-27 09:00:00,2023-02-27 10:00:00,160.09
2023-02-27 10:00:00,2023-02-27 11:00:00,148.27
2023-02-27 11:00:00,2023-02-27 12:00:00,132.61
2023-02-27 12:00:00,2023-02-27 13:00:00,138.83
2023-02-27 13:00:00,2023-02-27 14:00:00,135.48
2023-02-27 14:00:00,2023-02-27 15:00:00,131.47
2023-02-27 15:00:00,2023-02-27 16:00:00,132.17
2023-02-27 16:00:00,2023-02-27 17:00:00,153.45
2023-02-27 17:00:00,2023-02-27 18:00:00,170.69
2023-02-27 18:00:00,2023-02-27 19:00:00,185.45
2023-02-27 00:00:00,2023-02-27 01:00:00,65.93
2023-02-27 01:00:00,2023-02-27 02:00:00,74.76
2023-02-27 02:00:00,2023-02-27 03:00:00,108.84
2023-02-27 03:00:00,2023-02-27 04:00:00,114.36
2023-02-27 04:00:00,2023-02-27 05:00:00,117.19
2023-02-27 05:00:00,2023-02-27 06:00:00,139.83
2023-02-27 06:00:00,2023-02-27 07:00:00,164.23
2023-02-26 18:00:00,2023-02-26 19:00:00,153.7
2023-02-26 19:00:00,2023-02-26 20:00:00,153.14
2023-02-26 20:00:00,2023-02-26 21:00:00,114.36
2023-02-26 21:00:00,2023-02-26 22:00:00,110.02
2023-02-26 22:00:00,2023-02-26 23:00:00,96.27
2023-02-26 23:00:00,2023-02-27 00:00:00,63.96
2023-02-26 09:00:00,2023-02-26 10:00:00,92.87
2023-02-26 10:00:00,2023-02-26 11:00:00,97.41
2023-02-26 11:00:00,2023-02-26 12:00:00,93.16
2023-02-26 12:00:00,2023-02-26 13:00:00,84.44
2023-02-26 13:00:00,2023-02-26 14:00:00,55.31
2023-02-26 14:00:00,2023-02-26 15:00:00,54.59
2023-02-26 15:00:00,2023-02-26 16:00:00,86.4
2023-02-26 16:00:00,2023-02-26 17:00:00,98.92
2023-02-26 17:00:00,2023-02-26 18:00:00,129.9
2023-02-26 01:00:00,2023-02-26 02:00:00,61.52
2023-02-26 02:00:00,2023-02-26 03:00:00,50.64
2023-02-26 03:00:00,2023-02-26 04:00:00,51.28
2023-02-26 04:00:00,2023-02-26 05:00:00,74.4
2023-02-26 05:00:00,2023-02-26 06:00:00,48.85
2023-02-26 06:00:00,2023-02-26 07:00:00,55.41
2023-02-26 07:00:00,2023-02-26 08:00:00,61.43
2023-02-26 08:00:00,2023-02-26 09:00:00,99.94
2023-02-26 00:00:00,2023-02-26 01:00:00,83.26
2023-02-25 20:00:00,2023-02-25 21:00:00,54.64
2023-02-25 21:00:00,2023-02-25 22:00:00,64.4
2023-02-25 22:00:00,2023-02-25 23:00:00,70.11
2023-02-25 23:00:00,2023-02-26 00:00:00,50.03
2023-02-25 10:00:00,2023-02-25 11:00:00,63.08
2023-02-25 11:00:00,2023-02-25 12:00:00,101.81
2023-02-25 12:00:00,2023-02-25 13:00:00,49.97
2023-02-25 13:00:00,2023-02-25 14:00:00,44.99
2023-02-25 14:00:00,2023-02-25 15:00:00,49.99
2023-02-25 15:00:00,2023-02-25 16:00:00,63.05
2023-02-25 16:00:00,2023-02-25 17:00:00,91.53
2023-02-25 17:00:00,2023-02-25 18:00:00,115.42
2023-02-25 18:00:00,2023-02-25 19:00:00,109.72
2023-02-25 19:00:00,2023-02-25 20:00:00,74.92
2023-02-25 01:00:00,2023-02-25 02:00:00,64.91
2023-02-25 02:00:00,2023-02-25 03:00:00,57.62
2023-02-25 03:00:00,2023-02-25 04:00:00,56.06
2023-02-25 04:00:00,2023-02-25 05:00:00,71.24
2023-02-25 05:00:00,2023-02-25 06:00:00,80.01
2023-02-25 06:00:00,2023-02-25 07:00:00,66.1
2023-02-25 07:00:00,2023-02-25 08:00:00,72
2023-02-25 08:00:00,2023-02-25 09:00:00,78.77
2023-02-25 09:00:00,2023-02-25 10:00:00,75.75
2023-02-25 00:00:00,2023-02-25 01:00:00,71.73
